,location,bath,balcony,price,BuiltUp_Area,Plot_Area,Carpet_Area,BedRoom,With_Hall_Kitchen,Final_sqft
0,Electronic City Phase II,2,1,39.07,1,0,0,2,1,1056.0
1,Chikka Tirupathi,5,3,120.0,0,1,0,4,0,2600.0
2,Uttarahalli,2,3,62.0,1,0,0,3,1,1440.0
3,Lingadheeranahalli,3,1,95.0,1,0,0,3,1,1521.0
4,Kothanur,2,1,51.0,1,0,0,2,1,1200.0
5,Whitefield,2,1,38.0,1,0,0,2,1,1170.0
6,Old Airport Road,4,0,204.0,1,0,0,4,1,2732.0
7,Rajaji Nagar,4,0,600.0,1,0,0,4,1,3300.0
8,Marathahalli,3,1,63.25,1,0,0,3,1,1310.0
9,Gandhi Bazar,6,0,370.0,0,1,0,6,0,1020.0
10,Whitefield,2,2,70.0,1,0,0,3,1,1800.0
11,Whitefield,5,3,295.0,0,1,0,4,0,2785.0
12,7th Phase JP Nagar,2,1,38.0,1,0,0,2,1,1000.0
13,Gottigere,2,2,40.0,1,0,0,2,1,1100.0
14,Sarjapur,3,2,148.0,0,1,0,3,0,2250.0
15,Mysore Road,2,2,73.5,1,0,0,2,1,1175.0
16,Bisuvanahalli,3,2,48.0,1,0,0,3,1,1180.0
17,Raja Rajeshwari Nagar,3,3,60.0,1,0,0,3,1,1540.0
18,Ramakrishnappa Layout,4,2,290.0,1,0,0,3,1,2770.0
19,Manayata Tech Park,2,2,48.0,1,0,0,2,1,1100.0
20,Kengeri,1,1,15.0,1,0,0,1,1,600.0
21,Binny Pete,3,1,122.0,1,0,0,3,1,1755.0
22,Thanisandra,5,2,380.0,0,1,0,4,0,2800.0
23,Bellandur,3,1,103.0,1,0,0,3,1,1767.0
24, Thanisandra,1,0,25.25,1,0,0,1,0,510.0
25,Mangammanapalya,3,2,56.0,1,0,0,3,1,1250.0
26,Electronic City,1,1,23.1,1,0,0,2,1,660.0
27,Whitefield,3,2,81.0,1,0,0,3,1,1610.0
28,Ramagondanahalli,2,2,48.77,1,0,0,2,1,1151.0
29,Electronic City,2,1,47.0,1,0,0,3,1,1025.0
30,Yelahanka,4,0,186.0,1,0,0,4,1,2475.0
31,Bisuvanahalli,2,1,35.0,1,0,0,3,1,1075.0
32,Hebbal,2,2,123.0,1,0,0,3,1,1760.0
33,Raja Rajeshwari Nagar,3,3,57.39,1,0,0,3,1,1693.0
34,Kasturi Nagar,3,0,125.0,1,0,0,3,1,1925.0
35,Kanakpura Road,2,1,36.0,1,0,0,2,1,700.0
36,Electronics City Phase 1,2,1,45.5,1,0,0,2,1,1070.0
37,Kundalahalli,3,2,125.0,1,0,0,3,1,1724.0
38,Chikkalasandra,2,2,56.12,1,0,0,3,1,1290.0
39,Uttarahalli,2,2,45.0,1,0,0,2,1,1143.0
40,Murugeshpalya,2,0,81.0,1,0,0,2,1,1296.0
41,Sarjapur  Road,3,2,38.0,1,0,0,3,1,1254.0
42,Ganga Nagar,1,0,38.0,1,0,0,1,1,600.0
43,Yelahanka,1,0,48.0,0,1,0,1,0,660.0
44,Kanakpura Road,2,2,91.79,1,0,0,2,1,1330.74
45,HSR Layout,9,0,200.0,0,1,0,8,0,600.0
46,Doddathoguru,2,0,33.0,1,0,0,2,1,970.0
47,Whitefield,2,1,94.82,1,0,0,2,1,1459.0
48,KR Puram,1,1,130.0,0,1,0,2,0,800.0
49,Himagiri Meadows,2,1,36.0,1,0,0,2,1,869.0
50,Adarsh Nagar,2,1,50.0,1,0,0,2,1,1270.0
51,Bhoganhalli,3,1,99.0,1,0,0,3,1,1670.0
52,Whitefield,3,2,91.0,1,0,0,3,1,2010.0
53,Lakshminarayana Pura,2,2,75.0,1,0,0,2,1,1185.0
54,Yelahanka,2,3,75.0,1,0,0,3,1,1600.0
55,Begur Road,2,2,44.0,1,0,0,2,1,1200.0
56,Devanahalli,4,0,192.0,1,0,0,4,0,3210.0
57,Ramakrishnappa Layout,2,2,185.0,1,0,0,2,1,1500.0
58,Murugeshpalya,4,1,150.0,0,1,0,6,0,1407.0
59,Govindaraja Nagar Ward,2,2,45.0,1,0,0,2,1,840.0
60,Tharabanahalli,3,2,240.0,0,1,0,3,0,4395.0
61,Ganga Nagar,2,1,55.0,1,0,0,2,1,845.0
62,Whitefield,5,3,650.0,0,1,0,4,0,5700.0
63,Varthur,2,2,44.0,1,0,0,2,1,1160.0
64,Bommanahalli,8,0,140.0,1,0,0,8,0,3000.0
65,Doddathoguru,2,1,62.0,1,0,0,2,1,1100.0
66,Gunjur,2,3,43.0,1,0,0,2,1,1140.0
67,Marathahalli,2,1,57.0,1,0,0,2,1,1220.0
68,Devarachikkanahalli,7,0,85.0,0,1,0,8,0,1350.0
69,Kanakpura Road,2,1,36.68,1,0,0,2,1,1005.0
70,Double Road,3,2,100.0,0,1,0,3,0,500.0
71,Begur Road,2,1,80.58,1,0,0,2,1,1358.0
72,Hegde Nagar,3,1,101.0,1,0,0,3,1,1569.0
73,Haralur Road,2,1,70.0,1,0,0,2,1,1240.0
74,Hennur Road,3,2,140.0,1,0,0,3,1,2089.0
75,Kothannur,2,1,48.23,1,0,0,2,1,1206.0
76,Kalena Agrahara,2,3,40.0,1,0,0,2,1,1150.0
77,Cholanayakanahalli,3,3,205.0,1,0,0,3,1,2511.0
78,Kaval Byrasandra,1,0,22.0,1,0,0,2,1,460.0
79,ISRO Layout,6,3,250.0,1,0,0,6,0,4400.0
80,Kodanda Reddy Layout,2,2,105.0,1,0,0,3,1,1660.0
81,Hennur Road,4,0,224.5,1,0,0,4,0,3203.5
82,Yelahanka,2,2,78.0,1,0,0,2,1,1326.0
83,Garudachar Palya,2,2,60.8,1,0,0,3,1,1325.0
84,EPIP Zone,5,2,102.0,1,0,0,3,1,1499.0
85,Hegde Nagar,7,2,210.0,1,0,0,6,0,3000.0
86,Kanakpura Road,3,2,88.0,1,0,0,3,1,1665.0
87,Dasanapura,2,2,37.0,1,0,0,2,1,708.0
88,Kasavanhalli,2,2,58.06,1,0,0,2,1,1060.0
89,Rajaji Nagar,6,3,160.0,0,1,0,6,0,710.0
90,Sanjay nagar,2,2,70.0,1,0,0,2,1,1000.0
91,Electronic City,2,1,28.88,1,0,0,2,1,1000.0
92, Mysore Highway,2,2,70.0,1,0,0,3,1,1450.0
93,ISRO Layout,4,2,155.0,0,1,0,4,0,1200.0
94,Thanisandra,2,3,80.0,1,0,0,2,1,1296.0
95,Domlur,3,2,90.0,1,0,0,3,1,1540.0
96,Kengeri,4,1,245.0,0,1,0,4,0,2894.0
97,Sarjapura - Attibele Road,2,1,48.0,1,0,0,3,1,1330.0
98,Devasthanagalu,2,1,65.0,1,0,0,2,1,1200.0
99,T Dasarahalli,3,1,90.0,1,0,0,3,0,1200.0
100,Yeshwanthpur,3,3,138.0,1,0,0,3,1,2502.0
101,Chandapura,1,1,17.0,1,0,0,2,1,650.0
102,Kothanur,2,1,150.0,0,1,0,3,0,2400.0
103,Green View Layout,2,2,43.0,1,0,0,2,1,1007.0
104,Shantiniketan Layout,2,2,50.0,1,0,0,2,1,1200.0
105,Peenya,2,2,49.9,1,0,0,2,1,966.0
106,Nagarbhavi,2,1,98.0,1,0,0,3,1,1630.0
107,Rajaji Nagar,3,2,229.0,1,0,0,3,1,1640.0
108,Jalahalli West,2,2,55.68,1,0,0,2,1,782.0
109,Devanahalli,2,2,66.78,1,0,0,2,1,1260.0
110,Lakshmiamma Garden,3,3,120.0,1,0,0,3,1,1800.0
111,Byatarayanapura,2,2,75.0,1,0,0,3,1,1413.0
112,Whitefield,2,1,51.91,1,0,0,2,1,1116.0
113,Electronic City,2,1,45.9,1,0,0,3,1,1530.0
114,Ramamurthy Nagar,4,1,225.0,1,0,0,4,0,3700.0
115,Sarjapur  Road,3,2,140.0,1,0,0,3,0,2497.0
116,Kengeri,2,3,64.0,1,0,0,3,1,1540.0
117,Thanisandra,3,1,74.75,1,0,0,3,1,1436.0
118,Malleshwaram,2,2,75.0,1,0,0,2,1,1100.0
119,Hennur Road,3,3,23.0,0,1,0,2,0,276.0
120,Thanisandra,3,2,120.0,1,0,0,3,1,1427.0
121,Akshaya Nagar,3,1,200.0,1,0,0,3,1,2061.0
122,Hebbal,4,0,477.0,1,0,0,4,1,5611.5
123,Shampura,4,2,150.0,1,0,0,4,1,2650.0
124,Devanahalli,2,2,68.52,1,0,0,3,1,1282.0
125,Kadugodi,2,1,34.0,1,0,0,2,1,1050.0
126,LB Shastri Nagar,3,2,65.0,1,0,0,3,1,1600.0
127,Vajarahalli,2,1,54.0,1,0,0,2,1,945.0
128,Hormavu,2,1,78.0,1,0,0,2,1,1500.0
129,Vishwapriya Layout,7,0,115.0,0,1,0,7,0,950.0
130,Peenya,3,3,110.0,1,0,0,3,1,1870.0
131,Sarjapur,3,1,75.0,0,1,0,3,0,1600.0
132,Electronic City,1,1,16.5,1,0,0,2,1,880.0
133,Ramaswamy Palya - Kammanahalli Main Road,4,0,210.0,0,1,0,4,0,1200.0
134,Kudlu Gate,3,2,83.0,1,0,0,3,1,1535.0
135,Kanakpura Road,2,1,57.0,1,0,0,2,1,950.0
136,Devanahalli,2,1,65.0,1,0,0,2,1,1360.0
137,8th Phase JP Nagar,2,0,54.005,1,0,0,2,1,1073.5
138,Bommasandra Industrial Area,3,1,50.4,1,0,0,3,1,1280.0
139,Chandra Layout,2,2,85.05,1,0,0,3,1,1260.0
140,Hennur Road,8,0,250.0,1,0,0,8,0,5000.0
141,Yelahanka,5,1,213.0,1,0,0,5,1,3050.0
142,Kasavanhalli,3,1,105.0,1,0,0,3,1,1563.05
143,ISRO Layout,2,1,60.0,1,0,0,2,1,1000.0
144,Anandapura,2,1,43.76,1,0,0,2,1,1167.0
145,Vishveshwarya Layout,7,2,225.0,1,0,0,7,1,4000.0
146,Kothanur,3,0,110.0,1,0,0,3,1,1828.0
147,Kengeri Satellite Town,2,1,35.0,1,0,0,2,1,890.0
148,Basavanapura,3,3,46.74,1,0,0,3,1,1612.0
149,Dinnur,5,0,185.0,0,1,0,6,0,1034.0
150,Mysore Road,4,2,91.31,1,0,0,3,1,1710.0
151,Kannamangala,2,1,58.0,1,0,0,2,1,957.0
152, Devarachikkanahalli,2,3,44.0,1,0,0,3,1,1250.0
153,Sanjeevini Nagar,4,0,235.0,1,0,0,3,1,2795.0
154,Hulimavu,2,2,50.0,1,0,0,2,1,1125.0
155,Electronic City Phase II,2,1,30.6,1,0,0,2,1,1020.0
156,Kalena Agrahara,2,2,50.0,1,0,0,2,1,1200.0
157,Thanisandra,3,3,135.0,1,0,0,3,1,1735.0
158,Thanisandra,3,1,145.0,1,0,0,3,1,2050.0
159,Mahalakshmi Layout,4,0,760.0,0,1,0,4,0,3750.0
160,Yarandahalli,2,3,48.0,1,0,0,3,1,1350.0
161,Hosa Road,2,1,32.0,1,0,0,2,1,1063.0
162,Keshava Nagar,3,1,150.0,1,0,0,3,1,1904.0
163,Whitefield,4,2,420.0,1,0,0,4,0,4200.0
164,RMV Extension,3,1,175.0,1,0,0,3,1,2000.0
165,Sarjapur,2,0,43.49,1,0,0,2,1,1242.5
166,Tejaswini Nagar,2,2,75.0,1,0,0,3,1,1425.0
167,Electronic City,2,1,64.5,1,0,0,3,1,1500.0
168,Electronic City,2,1,60.0,1,0,0,2,1,1060.0
169,Jai Bheema Nagar,2,2,70.0,1,0,0,3,1,1470.0
170,Kothnur Narayanapura,6,0,99.0,1,0,0,6,1,1300.0
171,Attibele,1,1,11.0,1,0,0,1,1,450.0
172,Electronic City,2,1,64.5,1,0,0,2,1,1152.0
173,Electronic City,2,1,56.0,1,0,0,3,1,1350.0
174,CV Raman Nagar,3,3,65.0,1,0,0,3,1,1550.0
175,CHIKKATIRUPATHI,3,2,100.0,0,1,0,3,0,1500.0
176,Kumaraswami Layout,3,2,85.0,0,1,0,5,0,600.0
177,Nagavara,1,0,14.0,0,1,0,1,0,400.0
178,Malleshwaram,1,2,67.0,1,0,0,1,1,705.0
179,Electronic City,1,1,36.0,1,0,0,2,1,770.0
180,Hulimavu,2,3,51.0,1,0,0,2,1,1242.0
181,Hebbal Kempapura,3,2,155.0,1,0,0,3,1,1700.0
182,Thanisandra,3,2,145.0,1,0,0,3,1,2144.0
183,Vijayanagar,3,2,110.0,1,0,0,3,1,1704.0
184,Electronic City,2,1,52.0,1,0,0,2,1,1070.0
185,8th block Koramangala,3,2,300.0,0,1,0,3,0,1846.0
186,Jakkuru Layout,2,2,55.7,1,0,0,2,1,1340.0
187,Electronic City,2,1,46.0,1,0,0,2,1,1025.0
188,KR Puram,2,0,56.8,1,0,0,2,1,1277.5
189,Marathahalli,2,2,52.0,1,0,0,2,1,1200.0
190,Kanakpura Road,4,1,110.0,1,0,0,4,0,2250.0
191,Pattandur Agrahara,2,3,80.0,1,0,0,3,1,1550.0
192,Bellandur,5,0,325.0,0,1,0,4,0,1200.0
193,Ejipura,7,1,250.0,0,1,0,7,0,1800.0
194,Marathahalli,2,2,60.0,1,0,0,2,1,1200.0
195,Yelahanka,2,2,98.0,1,0,0,2,1,1327.0
196,Kothanur,2,2,58.0,1,0,0,2,1,1186.0
197,MS Pallya,3,1,115.0,1,0,0,3,0,1783.0
198,HSR Layout,3,2,56.0,1,0,0,3,1,1400.0
199,Nagasandra,2,1,48.0,1,0,0,2,1,980.0
200,EPIP Zone,2,2,82.0,1,0,0,2,1,1285.0
201,Langford Town,2,1,70.0,1,0,0,3,1,912.0
202,Whitefield,2,2,47.6,1,0,0,2,1,1225.0
203,Whitefield,2,1,53.0,1,0,0,2,1,1075.0
204,Kadugodi,2,2,54.0,1,0,0,3,1,1260.0
205,Yelahanka,2,2,48.7,1,0,0,3,1,1282.0
206,Kogilu,3,2,88.0,1,0,0,3,1,1909.0
207,Panathur,2,1,87.0,1,0,0,2,1,1359.0
208,Nagondanahalli,2,2,43.5,1,0,0,2,1,1207.0
209,Padmanabhanagar,6,0,190.0,0,1,0,4,0,1736.0
210,1st Block Jayanagar,4,1,428.0,1,0,0,4,1,2850.0
211,Kammasandra,3,2,65.0,1,0,0,3,1,1595.0
212,"Off Sarjapur Road, ",3,2,89.0,1,0,0,3,1,1798.0
213,Electronics City Phase 1,3,2,78.29,1,0,0,3,1,1475.0
214,Tala Cauvery Layout,3,3,100.0,1,0,0,3,1,1580.0
215,Dasarahalli,2,1,65.0,1,0,0,2,1,1295.0
216,Magadi Road,6,0,141.0,1,0,0,6,0,3600.0
217,Electronic City,1,1,27.0,1,0,0,1,1,589.0
218,Ngef Layout,3,3,78.0,1,0,0,3,1,1415.0
219,Sarjapur  Road,3,2,98.29,1,0,0,3,1,1787.0
